Algorithm,Size,Time_ms
Quick Sort,1000,0.00
Merge Sort,1000,0.00
Heap Sort,1000,0.00
Shell Sort,1000,0.00
Insertion Sort,1000,0.00
Selection Sort,1000,0.00
Bubble Sort,1000,0.00
Quick Sort,2000,0.00
Merge Sort,2000,5.00
Heap Sort,2000,0.00
Shell Sort,2000,0.00
Insertion Sort,2000,1.00
Selection Sort,2000,1.00
Bubble Sort,2000,3.00
Quick Sort,5000,0.00
Merge Sort,5000,0.00
Heap Sort,5000,0.00
Shell Sort,5000,0.00
Insertion Sort,5000,0.00
Selection Sort,5000,13.00
Bubble Sort,5000,18.00
Quick Sort,10000,0.00
Merge Sort,10000,9.00
Heap Sort,10000,0.00
Shell Sort,10000,0.00
Insertion Sort,10000,11.00
Selection Sort,10000,29.00
Bubble Sort,10000,113.00
Quick Sort,20000,0.00
Merge Sort,20000,7.00
Heap Sort,20000,0.00
Shell Sort,20000,0.00
Insertion Sort,20000,44.00
Selection Sort,20000,135.00
Bubble Sort,20000,521.00
Quick Sort,50000,0.00
Merge Sort,50000,16.00
Heap Sort,50000,4.00
Shell Sort,50000,0.00
Insertion Sort,50000,258.00
Selection Sort,50000,820.00
Bubble Sort,50000,3675.00
Quick Sort,100000,4.00
Merge Sort,100000,27.00
Heap Sort,100000,2.00
Shell Sort,100000,17.00
Insertion Sort,100000,1072.00
Selection Sort,100000,3371.00
